numBranches, numEndPoints, numJunctionVoxels, numJunctions, numSlabs, numTriples, numQuadruples, averageBranchLength, maximumBranchLength, shortestPath, numVoxels, width, height, depth, class
1, 2, 0, 0, 6, 0, 0, 9.2925291, 9.2925291, 9.2925291, 197, 11, 7, 5, 2
1, 2, 0, 0, 2, 0, 0, 3.7320509, 3.7320509, 3.7320509, 61, 6, 4, 5, 1
18, 5, 19, 10, 124, 9, 1, 10.726387, 27.884153, 72.929184, 4656, 33, 25, 32, 3
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 68, 4, 5, 5, 1
1, 2, 0, 0, 6, 0, 0, 7.8284273, 7.8284273, 7.8284273, 98, 9, 5, 6, 2
1, 2, 0, 0, 6, 0, 0, 9.3889055, 9.3889055, 9.3889055, 186, 6, 5, 12, 1
1, 2, 0, 0, 26, 0, 0, 34.484554, 34.484554, 34.484554, 1160, 10, 9, 30, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 5, 5, 1
1, 2, 0, 0, 7, 0, 0, 9.6568546, 9.6568546, 9.6568546, 241, 12, 7, 7, 2
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 72, 5, 5, 5, 1
1, 2, 0, 0, 4, 0, 0, 6.2426405, 6.2426405, 6.2426405, 176, 11, 6, 6, 2
1, 2, 0, 0, 0, 0, 0, 1.4142135, 1.4142135, 1.4142135, 122, 7, 5, 7, 1
1, 2, 0, 0, 10, 0, 0, 13.071068, 13.071068, 13.071068, 442, 19, 8, 6, 2
3, 3, 1, 1, 33, 1, 0, 15.332848, 19.53517, 35.291801, 1421, 21, 12, 25, 3
1, 2, 0, 0, 4, 0, 0, 6.6568542, 6.6568542, 6.6568542, 243, 12, 13, 5, 2
1, 2, 0, 0, 22, 0, 0, 27.363596, 27.363596, 27.363596, 1376, 10, 14, 32, 2
1, 2, 0, 0, 5, 0, 0, 7.6568542, 7.6568542, 7.6568542, 291, 13, 9, 5, 2
1, 2, 0, 0, 0, 0, 0, 1.4142135, 1.4142135, 1.4142135, 180, 9, 6, 5, 1
1, 2, 0, 0, 5, 0, 0, 7.1462646, 7.1462646, 7.1462646, 178, 14, 7, 5, 2
3, 3, 1, 1, 37, 1, 0, 16.932755, 27.338287, 45.969833, 2050, 19, 15, 33, 3
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 217, 8, 8, 6, 1
1, 2, 0, 0, 23, 0, 0, 28.459972, 28.459972, 28.459972, 1142, 13, 9, 31, 2
1, 2, 0, 0, 7, 0, 0, 11.120955, 11.120955, 11.120955, 126, 6, 4, 13, 1
1, 2, 0, 0, 3, 0, 0, 4.4142137, 4.4142137, 4.4142137, 208, 8, 12, 5, 2
1, 2, 0, 0, 3, 0, 0, 5.6568542, 5.6568542, 5.6568542, 204, 8, 10, 5, 2
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 88, 6, 5, 5, 1
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 214, 12, 7, 6, 1
1, 2, 0, 0, 4, 0, 0, 5.8284273, 5.8284273, 5.8284273, 261, 14, 7, 6, 2
6, 2, 7, 3, 30, 2, 1, 8.9323826, 14.878315, 25.220732, 1213, 14, 11, 26, 3
1, 2, 0, 0, 29, 0, 0, 35.509861, 35.509861, 35.509861, 765, 32, 16, 6, 2
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 96, 5, 5, 6, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 168, 7, 6, 6, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 143, 6, 5, 6, 1
1, 2, 0, 0, 6, 0, 0, 8.9746914, 8.9746914, 8.9746914, 129, 9, 11, 6, 2
3, 3, 1, 1, 19, 1, 0, 9.3973408, 14.803119, 25.363596, 1093, 10, 17, 27, 2
1, 2, 0, 0, 14, 0, 0, 19.045759, 19.045759, 19.045759, 394, 24, 9, 6, 2
6, 3, 7, 3, 33, 3, 0, 8.881278, 18.217333, 27.509861, 1387, 23, 8, 22, 2
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 138, 7, 7, 6, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 152, 9, 7, 6, 1
3, 3, 3, 1, 23, 1, 0, 12.00795, 16.02458, 30.2918, 861, 13, 7, 27, 3
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 231, 10, 7, 6, 1
1, 2, 0, 0, 1, 0, 0, 2.7320509, 2.7320509, 2.7320509, 143, 8, 8, 7, 1
3, 3, 1, 1, 21, 1, 0, 9.9008713, 16.727922, 27.288401, 1356, 17, 7, 29, 1
1, 2, 0, 0, 8, 0, 0, 11.706742, 11.706742, 11.706742, 279, 17, 5, 6, 2
1, 2, 0, 0, 4, 0, 0, 5.4142137, 5.4142137, 5.4142137, 179, 8, 10, 5, 2
1, 2, 0, 0, 18, 0, 0, 22.120956, 22.120956, 22.120956, 489, 8, 6, 24, 1
1, 2, 0, 0, 11, 0, 0, 16.074467, 16.074467, 16.074467, 942, 9, 12, 22, 1
1, 2, 0, 0, 23, 0, 0, 27.120956, 27.120956, 27.120956, 626, 8, 7, 29, 1
1, 2, 0, 0, 22, 0, 0, 26.120956, 26.120956, 26.120956, 732, 8, 8, 27, 1
1, 2, 0, 0, 3, 0, 0, 5.1462646, 5.1462646, 5.1462646, 58, 8, 6, 6, 2
1, 2, 0, 0, 1, 0, 0, 2.7320509, 2.7320509, 2.7320509, 167, 10, 6, 8, 2
3, 2, 2, 1, 22, 0, 1, 10.796059, 14.485281, 18.631546, 273, 11, 7, 19, 3
1, 2, 0, 0, 4, 0, 0, 6.2426405, 6.2426405, 6.2426405, 158, 7, 5, 11, 1
1, 2, 0, 0, 2, 0, 0, 3.4142137, 3.4142137, 3.4142137, 54, 6, 4, 6, 1
5, 4, 4, 2, 28, 2, 0, 8.7704554, 17.949383, 37.438065, 1120, 10, 22, 26, 2
3, 3, 1, 1, 41, 1, 0, 19.071959, 29.2918, 50.973232, 2095, 14, 31, 25, 3
3, 3, 1, 1, 35, 1, 0, 15.267464, 29.413485, 38.241913, 1180, 14, 18, 24, 3
1, 2, 0, 0, 8, 0, 0, 10.560478, 10.560478, 10.560478, 60, 6, 4, 9, 2
1, 2, 0, 0, 0, 0, 0, 1.4142135, 1.4142135, 1.4142135, 56, 4, 5, 5, 1
1, 2, 0, 0, 19, 0, 0, 24.999271, 24.999271, 24.999271, 736, 7, 11, 26, 1
1, 2, 0, 0, 16, 0, 0, 21.26722, 21.26722, 21.26722, 797, 12, 10, 25, 2
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 128, 6, 6, 8, 1
1, 2, 0, 0, 18, 0, 0, 23.363596, 23.363596, 23.363596, 788, 13, 7, 22, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 68, 5, 5, 7, 1
1, 2, 0, 0, 15, 0, 0, 18.388905, 18.388905, 18.388905, 475, 6, 8, 23, 1
1, 2, 0, 0, 16, 0, 0, 19.899494, 19.899494, 19.899494, 289, 6, 6, 20, 1
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 54, 5, 4, 5, 1
3, 3, 1, 1, 19, 1, 0, 10.097266, 16.120956, 26.827698, 579, 10, 14, 18, 3
1, 2, 0, 0, 12, 0, 0, 14.560478, 14.560478, 14.560478, 163, 5, 5, 14, 1
3, 3, 1, 1, 14, 1, 0, 7.3009648, 10.878315, 17.02458, 737, 18, 9, 16, 2
1, 2, 0, 0, 6, 0, 0, 8.5604782, 8.5604782, 8.5604782, 587, 8, 11, 15, 1
1, 2, 0, 0, 8, 0, 0, 12.120955, 12.120955, 12.120955, 418, 10, 7, 15, 1
1, 2, 0, 0, 1, 0, 0, 2.7320509, 2.7320509, 2.7320509, 214, 7, 6, 10, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 85, 5, 5, 5, 1
1, 2, 0, 0, 5, 0, 0, 7.1462646, 7.1462646, 7.1462646, 98, 5, 5, 9, 1
3, 3, 1, 1, 17, 1, 0, 8.2592697, 12.974691, 18.949383, 1173, 15, 11, 25, 3
1, 2, 0, 0, 15, 0, 0, 19.120956, 19.120956, 19.120956, 669, 10, 7, 23, 1
1, 2, 0, 0, 0, 0, 0, 1, 1, 1, 161, 7, 7, 7, 1
3, 3, 1, 1, 27, 1, 0, 13.047135, 26.070339, 35.312981, 740, 12, 20, 21, 2
3, 3, 1, 1, 23, 1, 0, 10.779429, 15.217332, 27.777811, 1414, 19, 12, 23, 2
1, 2, 0, 0, 15, 0, 0, 16.828426, 16.828426, 16.828426, 721, 8, 7, 24, 1
3, 3, 1, 1, 14, 1, 0, 7.3330903, 12.610366, 18.26722, 2503, 22, 13, 24, 2
1, 2, 0, 0, 4, 0, 0, 6.9746914, 6.9746914, 6.9746914, 83, 7, 5, 8, 2
6, 3, 5, 3, 39, 3, 0, 10.409753, 24.241911, 36.216602, 4188, 36, 16, 23, 3
1, 2, 0, 0, 16, 0, 0, 19.706743, 19.706743, 19.706743, 687, 8, 9, 24, 1
1, 2, 0, 0, 2, 0, 0, 3, 3, 3, 89, 5, 5, 7, 1
1, 2, 0, 0, 11, 0, 0, 14.803119, 14.803119, 14.803119, 957, 10, 11, 24, 1
1, 2, 0, 0, 16, 0, 0, 18.974691, 18.974691, 18.974691, 757, 8, 7, 25, 1
1, 2, 0, 0, 8, 0, 0, 10.974691, 10.974691, 10.974691, 298, 10, 8, 16, 1
3, 3, 1, 1, 24, 1, 0, 11.292529, 17.681435, 31.145535, 2941, 21, 23, 25, 2
12, 5, 10, 6, 34, 5, 1, 5.6033711, 9.9746914, 30.55975, 1509, 18, 11, 24, 3
1, 2, 0, 0, 1, 0, 0, 2, 2, 2, 119, 5, 6, 9, 1
1, 2, 0, 0, 20, 0, 0, 25.777811, 25.777811, 25.777811, 1544, 24, 8, 25, 2
1, 2, 0, 0, 6, 0, 0, 7.7320509, 7.7320509, 7.7320509, 135, 5, 5, 11, 1
1, 2, 0, 0, 11, 0, 0, 13.560478, 13.560478, 13.560478, 581, 9, 11, 19, 1
1, 2, 0, 0, 12, 0, 0, 13.828427, 13.828427, 13.828427, 594, 7, 7, 21, 1
